genre;frequency
Children's Fiction;608
Theatre Studies;574
Military History;532
European History;439
Unexplained Phenomena  The Paranormal;435
Usage & Grammar Guides;424
Children's General Story Books;395
Family;321
World War 2 Books;318
Family Issues;299
History Of The Americas;272
Anthologies (non-poetry);270
British & Irish History;253
20th Century History: C 1900  To C 2000;243
Plays;226
Playscripts;222
Miscellaneous Items;221
Political & Military;214
Society & Social Issues;214
Biography: Historical;194
Relationships;194
Linguistics;184
World Atlases  World Maps;178
Hair & Beauty;160
Cosmetics;160
Literary Studies: General;157
Children's Health Books;154
Asian History;151
Self-Esteem;149
Ghosts & Poltergeists;146
Grammar;146
Syntax;146
Veterinary Medicine;142
Modern History To 20th Century: C 1700 To C 1900;141
Decor & Style Guides;139
Biography: General;139
Interior Design;139
Animal Stories;131
Dance & Other Performing Arts;124
Warfare & Defence;118
Romance Books for Teenagers;116
Battles & Campaigns;113
Social & Cultural History;112
Personal Development;112
Air Forces & Warfare;110
Adventure Books for Kids;108
Historical & Comparative Linguistics;107
Literary Studies: Plays & Playwrights;105
Etiquette & Entertaining;104
Parties;104
